"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,         317,      -15.11857337,      -15.55362003,      -16.19625147,      -16.00740289
          0,           0,         318,      -15.14069826,      -15.57570998,      -16.21845186,      -16.03046592
          0,           0,         319,      -15.16289633,      -15.59777286,      -16.24072983,      -16.05080234
          0,           0,         320,      -15.18498778,      -15.62011084,      -16.26263342,      -16.07480886
          0,           0,         321,      -15.20715935,        -15.642065,      -16.28501459,      -16.09590999
          0,           0,         322,      -15.22931357,      -15.66429214,      -16.30704168,      -16.11779769
          0,           0,         323,      -15.25141471,      -15.68650029,      -16.32911396,      -16.14138437
          0,           0,         324,      -15.27361915,      -15.70847286,      -16.35144342,      -16.16155362
          0,           0,         325,      -15.29572939,      -15.73083479,      -16.37335734,      -16.18529029
          0,           0,         326,      -15.31789284,      -15.75282359,      -16.39571572,      -16.20696828
          0,           0,         327,      -15.34006482,      -15.77501495,       -16.4178173,      -16.22825524
